x, y
21.724890829694328, 95.02074704559621
26.310043668122272, 91.70124824171745
30.021827397908716, 86.72198579014236
34.17030567685589, 80.91287000623299
38.75545851528384, 75.51866664273379
41.59388313126877, 63.900416080572484
45.52401413563558, 63.0705342567243
50.327504253803895, 57.26141847281497
54.03930797327033, 52.282165518411176
58.18776626253754, 52.282165518411176
62.117897266904336, 44.813286086805476
65.82970098637077, 39.419082723306275
69.97815927563798, 38.58921989380073
73.90829028000476, 27.800832161144967
81.55022500383802, 18.257257667090144
77.62009399947121, 27.800832161144967
86.13537784226595, 24.8962742691903
90.06550884663277, 16.18258159898366
94.65066168506074, 23.651461030589346
97.92577085536641, 25.726137098695844
101.85590185973322, 27.385900746392196
105.78603286410002, 25.311205683943072
109.93449115336722, 29.460576814498694
113.86462215773402, 34.02489835414971
117.57642587720046, 6.224075690176065
121.94323144104803, -10.373446820731672
126.09170971999522, -22.406628797645766
129.80349344978168, -24.066392445342117
133.73362445414847, -34.854761183655256
137.88210273309565, -35.26971159275065
141.5938864628821, -26.556018922544013
146.17903930131, -14.522817951287294
148.58077936297417, -16.597513013736418
153.60262675056288, -6.639007104928822
157.96943231441045, -14.107886536534522
161.6812160441969, -18.257257667090144
165.8296943231441, -24.89625527484766
170.19649988699163, -34.854761183655256
173.9083036064581, -44.39833567771007
177.40174006166413, -65.56016073392621
181.55021834061134, -80.91285101189037
185.91702390445892, -94.6057966365008
189.84715490882573, -86.30705437538955
194.2139804623533, -82.15766425049131
197.48908963265893, -62.24065243287613
